Вопрос,Правильный,Неверный1,Неверный2,Неверный3,Картинка
Как называется явление гравитационной линзы, предсказанное Эйнштейном?,Гравитационное линзирование,Красное смещение,Червоточина,Фотонный слой,gravitational_lens.jpg
Какая звезда является Полярной (Северной)?,Полярис,Вега,Денеб,Альтаир,polaris.jpg
Что такое «световой год»?,Расстояние, которое свет проходит за год,Время полета света,Скорость света,Год со многими солнечными днями,light_year.jpg
Как называется выжженная пустыня на Венере, где сел советский аппарат?,Земля Венеры,Равнина Иштар,Плато Лакшми,Долина Дианы,venera_landing.jpg
В каком году Юрий Гагарин совершил полет в космос?,1961,1957,1965,1969,gagarin_1961.jpg
Как называется самый большой спутник в Солнечной системе?,Ганимед (Юпитер),Титан (Сатурн),Луна (Земля),Каллисто,ganymede.jpg
Что такое «экзопланета»?,Планета вне Солнечной системы,Карликовая планета,Планета-гигант,Планета-сирота,exoplanet.jpg
Как называется рой микрометеороидов вокруг Сатурна, создающий «колючки» на кольцах?,Пропиллеры,Странники,Пастухи,Драконы,propellers_saturn.jpg
Сколько крупных лун у Марса?,2,1,3,0,mars_moons.jpg
Как называется космический телескоп, запущенный в 1990 году?,Хаббл,Джеймс Уэбб,Спитцер,Чандра,hubble.jpg
Какой химический элемент преобладает в недрах Земли?,Железо,Кислород,Кремний,Магний,earth_core_iron.jpg
Какая комета была видна даже днем в 2020 году?,NEOWISE,Галлей,Хейла-Боппа,ISON,comet_neowise.jpg
Как называется сила, удерживающая планеты на орбитах?,Гравитация,Магнетизм,Кориолисова сила,Центробежная сила,gravity.jpg
Какой космический аппарат доставил на Землю образцы с астероида Рюгу?,Хаябуса-2,Осирис-Рекс,Луна-24,Кассини,hayabusa2.jpg
Какая из планет-гигантов имеет наименьшую плотность (могла бы плавать в воде)?,Сатурн,Юпитер,Уран,Нептун,saturn_float.jpg
Что такое «маскон» на Луне?,Граво-магнитная аномалия,Кратер,Море,Гора,mascon_moon.jpg
Какая миссия первой доставила людей на Луну?,Аполлон-11,Аполлон-13,Восток-1,Джемини-7,apollo11.jpg
Как называется освещенная часть Луны, растущая после новолуния?,Молодая Луна,Ущербная Луна,Полумесяц,Четверть,young_moon.jpg
Какова температура на поверхности Венеры (в градусах Цельсия)?,+462 °C,+100 °C,0 °C,+1200 °C,venus_temperature.jpg
Как называется скопление звезд в виде шара (например, M13)?,Шаровое скопление,Рассеянное скопление,Галактика,Туманность,globular_cluster.jpg
Кто изобрел первый телескоп для наблюдения за звездами?,Галилео Галилей,Исаак Ньютон,Ханс Липперсгей,Иоганн Кеплер,galileo_telescope.jpg
Как называется зона, где гравитация черной дыры не отпускает даже свет?,Горизонт событий,Эргосфера,Сингулярность,Аккреционный диск,event_horizon.jpg
Сколько созвездий официально признано Международным астрономическим союзом?,88,48,108,12,constellations_88.jpg
Как называется выброс плазмы из атмосферы Солнца?,Корональный выброс массы,Солнечный ветер,Вспышка,Протуберанец,cme_sun.jpg
Какой газ придает Нептуну и Урану синий цвет?,Метан,Водород,Гелий,Аммиак,methane_blue.jpg
Как называется самый известный астероид, который может столкнуться с Землей в 2029/2036 (открыт в 2004)?,Апофис,Бенну,Дидим,Эрос,apophis.jpg
В каком созвездии находится звезда Сириус?,Большой Пес,Орион,Малый Пес,Единорог,sirius_constellation.jpg
Как называется ледяной карлик, который крупнее Плутона?,Эрида,Церера,Макемаке,Хаумеа,eris.jpg
Какой российский луноход работал на Луне в 1970 году?,Луноход-1,Луноход-2,Марсоход,Селеноход,lunokhod1.jpg
Какая планета видна с Земли как «Утренняя звезда»?,Венера,Юпитер,Марс,Меркурий,venus_morning_star.jpg
Что такое «метеорит»?,Упавший на Землю метеороид,Сгоревшая в атмосфере частица,Кометное ядро,Вспышка на Солнце,meteorite_fall.jpg
Сколько времени длится день на Юпитере (в земных часах)?,10 часов,24 часа,5 часов,48 часов,jupiter_day.jpg
Как называется эффект изменения частоты света от удаляющихся галактик?,Красное смещение,Эффект Доплера,Фиолетовое смещение,Реликтовое излучение,redshift.jpg
Как называется самый высокий действующий вулкан Солнечной системы (на Ио)?,Локи,Олимп,Этна,Маат,loki_patera.jpg
Какой космический зонд исследовал систему Сатурна 13 лет и был затоплен в его атмосфере?,Кассини,Галилео,Вояджер-1,Нью-Горизонс,cassini.jpg
Как называется спутник, который всегда повернут к планете одной стороной (синхронное вращение)?,Синхронный спутник,Троянский,Пастух,Квазиспутник,synchronous_moon.jpg
Из какого материала в основном состоят метеориты, найденные на Земле?,Железо и никель,Кремний,Углерод,Лед,iron_meteorite.jpg
Как называется начальное взрывное расширение Вселенной?,Большой взрыв,Инфляция,Конденсация,Сингулярность,big_bang.jpg
Какая миссия NASA впервые посадила вертолет на другую планету (Марс)?,Марс 2020 (Ingenuity),Марс Одиссей,Марс-3,Спирит,ingenuity_helicopter.jpg
Что такое «карликовая планета»?,Небесное тело, не очистившее окрестности своей орбиты,Маленькая планета,Спутник планеты,Астероид,dwarf_planet.jpg
Как называется скопление галактик, в которое входит Млечный Путь?,Местная группа,Скопление Девы,Сверхскопление Ланиакея,Скопление Гидры,local_group.jpg
Какой космонавт провел в космосе больше всего времени (суммарно) в мире?,Геннадий Падалка,Сергей Крикалёв,Юрий Маленченко,Валерий Поляков,padalka_record.jpg
Какая звезда является самой массивной из известных (R136a1)?,R136a1,UY Щита,Стивенсон 2-18,Бетельгейзе,r136a1.jpg
Как называются два облака газа и пыли у южного полюса Юпитера?,Голубые завихрения,Большое красное пятно,Южные тропические возмущения,Белые овалы,blue_swirls_jupiter.jpg
С какой планеты идет самый сильный «алмазный дождь» (по теории)?,Сатурн,Юпитер,Уран,Нептун,saturn_diamond_rain.jpg
В каком году человек высадился на Луну (пилотируемая высадка)?,1969,1968,1970,1972,moon_landing_1969.jpg
Какая планета была открыта «на кончике пера» с помощью математики?,Нептун,Уран,Плутон,Меркурий,neptune_discovered.jpg
Как называется гравитационно-связанная система из звезд и их остатков?,Галактика,Скопление,Туманность,Астеризм,galaxy_spiral.jpg
Что такое «солнечный ветер»?,Поток заряженных частиц от Солнца,Ветер на Солнце,Изменение погоды на Солнце,Корональные дыры,solar_wind.jpg
Что такое черная дыра?,Область пространства-времени с бесконечной плотностью,Сгоревшая звезда из нейтронов,Гигантская планета-газовик,Облако замерзшего водорода,black_hole_singularity.jpg
Как называется сверхъяркое ядро далекой галактики с питающей черной дырой?,Квазар,Блазар,Радиогалактика,Сейфертовская галактика,quasar_3c273.jpg
Из чего предположительно состоит темная материя?,WIMP (слабо взаимодействующие массивные частицы),Нейтрино,Фотоны,Темные атомы водорода,wimp_dark_matter.jpg
Какая черная дыра находится в центре Млечного Пути?,Стрелец A*,Стрелец A,Лебедь X-1,Лебедь A,sagittarius_a_star.jpg
Какая галактика является ближайшим квазаром (в прошлом, ныне спокойная)?,Маркарян 231,Центавр A,Дева A,Лебедь A,markarian_231.jpg
Что такое "сверхмассивная черная дыра"?,Черная дыра массой от миллионов до миллиардов масс Солнца,Черная дыра звездной массы,Черная дыра из темной материи,Квантовая черная дыра,supermassive_black_hole.jpg
Как темная материя влияет на формирование галактик?,Служит гравитационным каркасом для притяжения обычной материи,Разгоняет галактики,Останавливает звездообразование,Создает магнитные поля,dark_matter_halo.jpg
Как называется процесс испарения черной дыры, предсказанный Хокингом?,Излучение Хокинга,Квантовая флуктуация,Аннигиляция,Туннельный эффект,hawking_radiation.jpg
Какой известный квазар является самым ярким в видимом свете (на земном небе)?,3C 273,PKS 0637-752,TON 618,3C 48,3c273_quasar.jpg
Что такое "аккреционный диск" черной дыры?,Раскаленный газ и пыль, вращающиеся перед падением в дыру,Сфера из антиматерии,Хвост кометы,Кольца падающих планет,accretion_disk.jpg
Какая доля массы Вселенной приходится на темную материю (по современным данным)?,Около 27%,Около 5%,Около 68%,Около 50%,dark_matter_percent.jpg
Какая черная дыра является ближайшей к Земле (открытая в 2022 году)?,Gaia BH1,Лебедь X-1,V616 Единорога,A0620-00,gaia_bh1.jpg
Как называется эффект гравитационного искривления света, помогающий изучать темную материю?,Гравитационное линзирование,Эффект Доплера,Эффект Унру,Эффект Казимира,gravitational_lensing.jpg
Какой квазар является самым далеким из обнаруженных (по состоянию на 2024 год)?,UHZ1,J0313-1806,Pōniuāʻena,ULAS J1120+0641,uhz1_quasar.jpg
Как называются первичные черные дыры, возникшие в первые секунды после Большого взрыва?,Первичные черные дыры,Квантовые черные дыры,Микро-дыры,Ложные вакуумные дыры,primordial_black_holes.jpg
Как темная материя проявляет себя на космологических масштабах?,Через гравитационное взаимодействие (не излучая свет),Через мощное радиоизлучение,Через гамма-всплески,Через свечение в инфракрасном диапазоне,dark_matter_gravity.jpg
Что такое "фотонная сфера" черной дыры?,Последняя орбита, где фотоны движутся по кругу,Ядро черной дыры,Зона горизонта событий,Область вырожденного вещества,photon_sphere.jpg
Какой квазар обладает самой большой известной сверхмассивной черной дырой?,TON 618,S5 0014+81,SDSS J0100+2802,H1821+643,ton618_black_hole.jpg
Что такое "темная энергия"?,Загадочная сила, ускоряющая расширение Вселенной,Форма темной материи,Энергия черных дыр,Кинетическая энергия галактик,dark_energy.jpg
Как называется сингулярность черной дыры?,Точка бесконечной плотности и кривизны пространства,Центр аккреционного диска,Внешний горизонт,Кольцевая мембрана,singularity.jpg
Какой метод используется для обнаружения темной материи в лабораториях?,Поиск рекогнулирующих атомов (детекторы LUX, XENON),Ускорители частиц,Лазерная интерферометрия,Масс-спектрометрия,lux_detector.jpg
Как называется эффект "спагеттификации" при падении в черную дыру?,Растяжение объекта приливными силами,Сжатие до точки,Испарение,Превращение в плазму,spaghettification.jpg
В каком созвездии находится квазар 3C 273?,Дева,Лев,Большая Медведица,Геркулес,virgo_constellation.jpg
Какая гипотетическая частица считается главным кандидатом на роль темной материи?,Аксион,Бозон Хиггса,Гравитон,Тахион,axion_dark_matter.jpg
Что такое "черная дыра звездной массы"?,Черная дыра, образовавшаяся при коллапсе массивной звезды,Черная дыра в центре галактики,Микро-черная дыра,Кварковая звезда,stellar_black_hole.jpg
Какой космический телескоп лучше всего изучил распределение темной материи?,Хаббл (COSMOS survey),Джеймс Уэбб,Спитцер,Чандра,hubble_cosmos.jpg
Как называется релятивистская струя плазмы, выбрасываемая квазарами?,Релятивистский джет,Плазменный тороид,Звездный ветер,Астрофизическая струна,quasar_jet.jpg
Что такое "кротовая нора" (мост Эйнштейна-Розена)?,Гипотетический туннель между двумя черными дырами,Врата в другую вселенную,Ускоритель частиц,Двойная звезда,wormhole.jpg
Какой квазар виден в любительский телескоп как звезда 12.9 величины?,3C 273,3C 48,LEDA 158349,QSO B0839+187,3c273_amateur.jpg
Как темная материя распределена в галактиках?,В виде сферического гало вокруг диска,Равномерно по всему объему,Только в ядре,В виде нитей между звездами,dark_matter_halo_sphere.jpg
Что такое "экзотическая материя" для червоточин?,Материя с отрицательной энергией плотности,Антиматерия,Темная материя,Вырожденное вещество,exotic_matter.jpg
Какой тип галактик содержит наиболее активные квазары?,Сейфертовские галактики,Эллиптические галактики,Неправильные галактики,Карликовые галактики,seyfert_galaxy.jpg
Какой эксперимент по поиску темной материи находится в подземной лаборатории Гран-Сассо (Италия)?,XENONnT,LUX,DAMA/LIBRA,CDMS,xenonnt_lab.jpg
Как называется точка невозврата вокруг черной дыры?,Горизонт событий,Гравитационный радиус,Эргосфера,Предел Роша,event_horizon_close.jpg
Какой известный квазар обладает оптическими джетами, видимыми в телескоп?,PKS 0637-752,3C 273,4C 41.17,MG J0414+0534,pks0637_jet.jpg
С помощью какого явления астрономы "взвешивают" темную материю в скоплениях галактик?,Гравитационное линзирование,Эффект Сюняева-Зельдовича,Рентгеновская эмиссия,Радиоизлучение нейтрального водорода,lensing_cluster.jpg
Что такое "эргосфера" вращающейся черной дыры (дыры Керра)?,Область, где невозможно оставаться неподвижным,Внутренний горизонт,Внешний горизонт,Диск аккреции,ergosphere.jpg
Как называется карта распределения темной материи, полученная телескопом "Планк"?,Карта гравитационного потенциала,Карта реликтового излучения,Карта барионных осцилляций,Карта скорости галактик,planck_dark_matter_map.jpg
Какой частоте соответствует излучение реликтового фона (Cвч)?,160 ГГц,50 ГГц,300 ГГц,10 ГГц,cmb_map.jpg
Как называется процесс слияния двух черных дыр, обнаруженный LIGO?,Гравитационно-волновой всплеск,Киллнова,Гиперновая,Гамма-всплеск,ligo_merger.jpg
Что такое "темная звезда" (гипотетическая)?,Звезда, питаемая аннигиляцией темной материи,Невидимая нейтронная звезда,Черная дыра на ранней стадии,Сгоревший красный гигант,dark_star.jpg
Какой самый яркий квазар имеет абсолютную величину -28?,3C 273,TON 618,S5 0014+81,APM 08279+5255,brightest_quasar.jpg
Как называется гипотеза, что темная материя состоит из MACHO?,Массивные компактные объекты гало (MACHO),Массивные нейтрино,Капельки кварков,Барионные сгустки,macho_dark_matter.jpg
Что такое "планковская длина" в контексте черных дыр?,Расстояние, на котором квантовые эффекты важны для гравитации,Диаметр черной дыры с массой Планка,Размер сингулярности,Толщина горизонта событий,planck_length.jpg
Какой квазар имеет рекордное красное смещение z=10.3?,UHZ1,J0313-1806,GN-z11,EGSY8p7,uhz1_z10.jpg
Какое вещество составляет большую часть массы Вселенной?,Темная энергия (~68%),Темная материя (~27%),Обычная материя (~5%),Нейтрино (~0.3%),universe_composition.jpg
Как называются сверхлегкие частицы-кандидаты для темной материи с массой мэВ?,Ультралегкие аксионы,Вимпы,Слабо взаимодействующие,Суперсимметричные партнеры,ultra_light_axion.jpg
Какой эффект используется для поиска аксионов (темной материи) в лаборатории?,Эффект Примакова (превращение в фотон в маг поле),Эффект Мейснера,Эффект Зеемана,Эффект Джозефсона,primakoff_effect.jpg
Что такое "нейтронная звезда"?,Сверхплотный остаток сверхновой,Белый карлик,Черная дыра малой массы,Мини-черная дыра,neutron_star.jpg
Как называется пульсар в Крабовидной туманности?,PSR B0531+21,PSR J0108-1431,PSR B1257+12,PSR J0737-3039,crab_pulsar.jpg
В каком созвездии находится знаменитая двойная система с черной дырой Лебедь X-1?,Лебедь,Геркулес,Лира,Орел,cygnus_x1.jpg
Какая миссия NASA изучает темную энергию и темную материю через космическую карту?,Euclid (совместно с ЕКА),WFIRST,James Webb,Spitzer,euclid_mission.jpg
Как называется тип черной дыры, который теоретически может быть размером с атом?,Микро-черная дыра,Примордиальная дыра,Кротовая нора,Квантовая струна,micro_black_hole.jpg
Что такое "реликтовое нейтрино"?,Остатки нейтрино от Большого взрыва,Нейтрино от сверхновой,Нейтрино от Солнца,Искусственные нейтрино,relic_neutrino.jpg
Какой квазар виден с Земли как "двойной" из-за гравитационного линзирования?,Двойной квазар (Q0957+561),3C 273,TON 618,4C 41.17,double_quasar.jpg
Как называется самый мощный гамма-всплеск, связанный с черной дырой?,GRB 221009A (BOAT),GRB 090423,GRB 080319B,GRB 130427A,boat_gamma_burst.jpg
Какой российский телескоп (на орбите) ищет темную материю через гамма-спектр?,Спектр-РГ (ART-XC),Радиоастрон,Квант-1,"Миллиметрон",spektr_rg.jpg
Что такое "барионная акустическая осцилляция"?,Звуковые волны в ранней Вселенной, оставившие отпечаток,Всплески от черных дыр,Колебания нейтронных звезд,Пульсации белых карликов,bao_oscillation.jpg
Как называется горизонт событий у невращающейся черной дыры (дыра Шварцшильда)?,Сфера Шварцшильда,Сфера Керра,Гравитационный радиус,Радиус Планка,schwarzschild_radius.jpg
Какой квазар используется как стандартная свеча для измерения расстояний?,Квазары с широкими линиями,Радиогромкие квазары,Квазары-линзы,Переменные квазары,standard_candle_quasar.jpg
Какой самый чувствительный детектор темной материи в мире (2024 год)?,XENONnT,PandaX-4T,LUX-ZEPLIN,DARWIN,xenonnt_detector.jpg
Что такое "черная дыра Керра"?,Вращающаяся черная дыра с аккреционным диском,Статическая сфера,Заряженная дыра,Голая сингулярность,kerr_black_hole.jpg
Как называется экзотическая звезда из кварковой материи?,Кварковая звезда,Нейтронная звезда,Гиперонная звезда,Преонная звезда,quark_star.jpg
Где находятся самые горячие и мощные квазары?,В ранней Вселенной (высокое красное смещение),В центре Млечного Пути,В шаровых скоплениях,В Магеллановых облаках,early_universe_quasar.jpg
Какой химический элемент был впервые синтезирован в черной дыре (теоретически)?,Сверхтяжелые элементы (теория),Золото,Платина,Уран,superheavy_elements.jpg
Что такое "темный фотон"?,Гипотетическая частица-переносчик темного электромагнетизма,Фотон в черной дыре,Квант темной энергии,Магнитный монополь,dark_photon.jpg
Как называется рентгеновский двойной источник, содержащий черную дыру в нашей Галактике?,Cygnus X-1,Centaurus X-3,Hercules X-1,Vela X-1,cygnus_x1_binary.jpg
Какой эффект предсказывает, что темная материя может аннигилировать в гамма-фотоны?,Аннигиляционная линия на 511 кэВ,Линия 21 см,Линия Лайман-альфа,Линия запрещенного железа,annihilation_line.jpg
Что такое "пульсар"?,Быстро вращающаяся нейтронная звезда c радиолучом,Черная дыра с джетом,Активное ядро галактики,Гамма-всплеск,pulsar_neutron_star.jpg
Какой телескоп впервые сфотографировал тень черной дыры (M87*)?,Event Horizon Telescope (EHT),Хаббл,Джеймс Уэбб,Чандра,eht_black_hole.jpg
Какая черная дыра находится в галактике M87?,M87*,Sgr A*,NGC 4486,Cygnus A,m87_star.jpg
Как называется процесс, при котором черная дыра теряет массу?,Излучение Хокинга,Гравитационный коллапс,Слияние,Аккреция,hawking_evaporation.jpg
Какой квазар самый массивный (масса черной дыры 66 млрд масс Солнца)?,TON 618,S5 0014+81,SDSS J0100+2802,H1821+643,ton618_mass.jpg
Какую долю энергии темной материи составляет аннигиляционный сигнал в центре Галактики?,Спорно, но возможно до 5%,Точно 0%,Около 50%,Более 80%,galactic_center_annihilation.jpg
Что такое "ГОСТ" в астрофизике черных дыр?,Горизонт событий,Гиперболическая орбита,Термодинамика черных дыр,Гамма-оптическое искажение,event_horizon.jpg
Как называется светящаяся дуга от гравитационного линзирования (Эйнштейна)?,Кольцо Эйнштейна,Дуга Бернса,Крест Эйнштейна,Гравитационная радуга,einstein_ring.jpg
В каком году была открыта первая черная дыра (Лебедь X-1)?,1964 (кандидат), 1972 (подтверждена),1974,1981,1990,cygnus_x1_discovery.jpg
Какой метод ищет аксионную темную материю по резонансу в микроволновой полости?,ADMX эксперимент,ATLAS,CMS,LUX,admx_experiment.jpg
Что такое "S-образный изгиб" джета квазара?,Результат прецессии аккреционного диска,Стоячая волна,Карта магнитного поля,Вращение галактики,precessing_jet.jpg
Какая галактика содержит активный квазар с самым мощным радиоджетом?,Центавр A,Лебедь A,Дева A,Персей A,centaurus_a.jpg
Как называется область между горизонтом и сингулярностью?,Пространство-время дыры,Ничто,Эргосфера,Инфляционная зона,interior_black_hole.jpg
Какой ученый предложил существование темной материи на основе скорости вращения галактик?,Вера Рубин,Фриц Цвикки,Ян Эйнар,Джон фон Нейман,vera_rubin.jpg
Что такое "микролинзирование" в контексте темной материи?,Усиление яркости звезды от проходящего компактного объекта,Микроскопическая черная дыра,Линзирование нейтрино,Искажение пульсара,microlensing.jpg
Какой квазар самый яркий в радиодиапазоне?,Cygnus A,3C 273,Fornax A,Pictor A,cygnus_a_radio.jpg
Как называются астероиды, сформированные из остатков звезд?,Планетезимали,Хондры,Тектиты,Реджилит,planetesimals.jpg
Какой атмосферный слой защищает Землю от метеоритов?,Мезосфера,Тропосфера,Стратосфера,Термосфера,mesosphere_meteor.jpg
Сколько длится синодический период Марса?,780 дней,687 дней,365 дней,224 дня,mars_synodic.jpg
Какая миссия привезла грунт с кометы 67P/Чурюмова-Герасименко?,Розетта (посадка Филы),Hayabusa2,Dawn,Stardust,rosetta_comet.jpg
Как называется второй по величине спутник Сатурна?,Рея,Титан,Диона,Япет,rhea_moon.jpg
Какая пилотируемая программа США следовала за "Меркурием"?,Джемини,Аполлон,Артемида,Орион,gemini_program.jpg
Как называется корабль SpaceX для полетов на Луну и Марс?,Starship,Crew Dragon,Falcon Heavy,Dragon XL,starship_spacex.jpg
Какой российский модуль МКС называется "Наука"?,Многофункциональный лабораторный модуль "Наука",Заря,Звезда,Поиск,nauka_module.jpg
Какая планета имеет самый короткий день (период вращения 9.93 часа)?,Юпитер,Сатурн,Нептун,Земля,jupiter_short_day.jpg
Какую температуру имеет поверхность Меркурия ночью?,-173 °C,-100 °C,0 °C,+200 °C,mercury_night_temp.jpg
Как называется скопление галактик "Волос Вероники"?,Скопление Девы,Скопление Гидры,Скопление Печи,Скопление Льва,coma_cluster.jpg
Какой спутник Урана вращается в обратном направлении (ретроградно)?,Тристан,Миранда,Ариэль,Умбриэль,tristan_retrograde.jpg
Как называется самая яркая комета 20-го века?,Комета Хейла-Боппа,Комета Веста,Комета ИКЭЯ-Сэки,Комета Аренда-Ролана,hale_bopp.jpg
Какое расстояние от Земли до Марса в момент противостояния?,~55-100 млн км,1 а.е.,2 а.е.,400 млн км,mars_opposition.jpg
Как называется газовый гигант-изгой без родительской звезды?,Планета-сирота,Бродячая планета,Эксцентричная планета,Хаотичная планета,rogue_planet.jpg
Как звали человека, создавшего теорию гравитации, объясняющую орбиты планет?,Исаак Ньютон,Альберт Эйнштейн,Иоганн Кеплер,Галилео Галилей,newton_gravity.jpg
Какой тип ракетного двигателя использует твердое топливо?,РДТТ,ЖРД,Электроракетный,Ядерный,rdtt_solid.jpg
